sampling_method,profile,aux_var,partitioning,budget,run_id,theta_hat,theta_true,failures_obs,execution_time
SRS,P0,PC,none,400,3,0.1025,0.1116504854368931,41,0.0002058339305222
SRS,P0,PC,none,400,4,0.0875,0.1116504854368931,35,0.0001970422454178
SRS,P0,PC,none,400,5,0.1125,0.1116504854368931,45,0.0002050423063337
SRS,P0,PC,none,400,6,0.0975,0.1116504854368931,39,0.0002007498405873
SRS,P0,PC,none,400,7,0.1125,0.1116504854368931,45,0.0001982077956199
SRS,P0,PC,none,400,8,0.0875,0.1116504854368931,35,0.0001989998854696
SRS,P0,PC,none,400,9,0.105,0.1116504854368931,42,0.0002058749087154
SRS,P0,PC,none,400,10,0.1025,0.1116504854368931,41,0.000206250231713
SRS,P0,PC,none,400,11,0.13,0.1116504854368931,52,0.0002007079310715
SRS,P0,PC,none,400,12,0.1275,0.1116504854368931,51,0.0001997081562876
SRS,P0,PC,none,400,13,0.105,0.1116504854368931,42,0.0001970417797565
SRS,P0,PC,none,400,14,0.115,0.1116504854368931,46,0.0001972918398678
SRS,P0,PC,none,400,15,0.1,0.1116504854368931,40,0.0001963749527931
SRS,P0,PC,none,400,16,0.12,0.1116504854368931,48,0.0001967502757906
SRS,P0,PC,none,400,17,0.125,0.1116504854368931,50,0.0001961248926818
SRS,P0,PC,none,400,18,0.11,0.1116504854368931,44,0.0002100002020597
SRS,P0,PC,none,400,19,0.1125,0.1116504854368931,45,0.0002039587125182
SRS,P0,PC,none,400,20,0.1175,0.1116504854368931,47,0.0002157501876354
SRS,P0,PC,none,400,21,0.085,0.1116504854368931,34,0.0002102078869938
SRS,P0,PC,none,400,22,0.09,0.1116504854368931,36,0.0001981253735721
SRS,P0,PC,none,400,23,0.1,0.1116504854368931,40,0.0001930422149598
SRS,P0,PC,none,400,24,0.125,0.1116504854368931,50,0.0001917919144034
SRS,P0,PC,none,400,25,0.1325,0.1116504854368931,53,0.0001953751780092
SRS,P0,PC,none,400,26,0.125,0.1116504854368931,50,0.0001955842599272
SRS,P0,PC,none,400,27,0.13,0.1116504854368931,52,0.0001974999904632
SRS,P0,PC,none,400,28,0.145,0.1116504854368931,58,0.0001936671324074
SRS,P0,PC,none,400,29,0.1225,0.1116504854368931,49,0.0001951246522367
SRS,P0,PC,none,400,30,0.0925,0.1116504854368931,37,0.0001912084408104
SUPS,P0,PC,none,50,1,0.0626217306008757,0.1116504854368931,6,0.0002004159614443
SUPS,P0,PC,none,50,2,0.1062060710868916,0.1116504854368931,10,0.0001797089353203
SUPS,P0,PC,none,50,3,0.0993542028049145,0.1116504854368931,10,0.0001731249503791
SUPS,P0,PC,none,50,4,0.0355793950533345,0.1116504854368931,4,0.0001725000329315
SUPS,P0,PC,none,50,5,0.1011323781366097,0.1116504854368931,10,0.0001721656881272
SUPS,P0,PC,none,50,6,0.1196442655203188,0.1116504854368931,11,0.0001700832508504
SUPS,P0,PC,none,50,7,0.0883137930424901,0.1116504854368931,8,0.0001693749800324
SUPS,P0,PC,none,50,8,0.1136613614080263,0.1116504854368931,11,0.0001695002429187
SUPS,P0,PC,none,50,9,0.0709423757061981,0.1116504854368931,7,0.0001735840924084
SUPS,P0,PC,none,50,10,0.1700194444723256,0.1116504854368931,15,0.0001682923175394
SUPS,P0,PC,none,50,11,0.0955234068617064,0.1116504854368931,10,0.0001687919721007
SUPS,P0,PC,none,50,12,0.0903574811967639,0.1116504854368931,9,0.0001753750257194
SUPS,P0,PC,none,50,13,0.1978899364484372,0.1116504854368931,17,0.0001669581979513
SUPS,P0,PC,none,50,14,0.0679462499001321,0.1116504854368931,7,0.0001964587718248
SUPS,P0,PC,none,50,15,0.0877295800513573,0.1116504854368931,9,0.0002357079647481
SUPS,P0,PC,none,50,16,0.1047173944500214,0.1116504854368931,11,0.0001953751780092
SUPS,P0,PC,none,50,17,0.1389903885908779,0.1116504854368931,13,0.0001828749664127
SUPS,P0,PC,none,50,18,0.104305300513972,0.1116504854368931,11,0.0001765000633895
SUPS,P0,PC,none,50,19,0.1125871393614311,0.1116504854368931,11,0.0001770830713212
SUPS,P0,PC,none,50,20,0.1362848273883253,0.1116504854368931,13,0.0001921658404171
SUPS,P0,PC,none,50,21,0.1376746716648921,0.1116504854368931,13,0.0001902910880744
SUPS,P0,PC,none,50,22,0.0985744327294061,0.1116504854368931,9,0.0003301249817013
