method,profile,aux_var,partitioning,budget,run,theta_hat,theta_true,failures_obs,execution_time
SRS,P0,None,none,100,26,0.1,0.11165048543689318,10,0.000759124755859375
SRS,P0,None,none,100,27,0.07,0.11165048543689318,7,0.000637054443359375
SRS,P0,None,none,100,28,0.11,0.11165048543689318,11,0.0006101131439208984
SRS,P0,None,none,100,29,0.07,0.11165048543689318,7,0.0007491111755371094
SRS,P0,None,none,100,30,0.13,0.11165048543689318,13,0.0009326934814453125
SRS,P0,None,none,200,1,0.09,0.11165048543689318,18,0.0008707046508789062
SRS,P0,None,none,200,2,0.07,0.11165048543689318,14,0.0009014606475830078
SRS,P0,None,none,200,3,0.105,0.11165048543689318,21,0.0010406970977783203
SRS,P0,None,none,200,4,0.125,0.11165048543689318,25,0.0006668567657470703
SRS,P0,None,none,200,5,0.105,0.11165048543689318,21,0.0006334781646728516
SRS,P0,None,none,200,6,0.115,0.11165048543689318,23,0.0009338855743408203
SRS,P0,None,none,200,7,0.125,0.11165048543689318,25,0.0009016990661621094
SRS,P0,None,none,200,8,0.115,0.11165048543689318,23,0.0009179115295410156
SRS,P0,None,none,200,9,0.125,0.11165048543689318,25,0.0009038448333740234
SRS,P0,None,none,200,10,0.115,0.11165048543689318,23,0.0008101463317871094
SRS,P0,None,none,200,11,0.075,0.11165048543689318,15,0.0006737709045410156
SRS,P0,None,none,200,12,0.11,0.11165048543689318,22,0.0006773471832275391
SRS,P0,None,none,200,13,0.13,0.11165048543689318,26,0.0009267330169677734
SRS,P0,None,none,200,14,0.14,0.11165048543689318,28,0.0009119510650634766
SRS,P0,None,none,200,15,0.105,0.11165048543689318,21,0.0008924007415771484
SRS,P0,None,none,200,16,0.095,0.11165048543689318,19,0.0009856224060058594
SRS,P0,None,none,200,17,0.105,0.11165048543689318,21,0.00089263916015625
SRS,P0,None,none,200,18,0.125,0.11165048543689318,25,0.0006272792816162109
SRS,P0,None,none,200,19,0.115,0.11165048543689318,23,0.0006871223449707031
SRS,P0,None,none,200,20,0.085,0.11165048543689318,17,0.0007894039154052734
SRS,P0,None,none,200,21,0.12,0.11165048543689318,24,0.0009207725524902344
SRS,P0,None,none,200,22,0.07,0.11165048543689318,14,0.0008890628814697266
SRS,P0,None,none,200,23,0.105,0.11165048543689318,21,0.0009043216705322266
SRS,P0,None,none,200,24,0.085,0.11165048543689318,17,0.0017242431640625
SRS,P0,None,none,200,25,0.115,0.11165048543689318,23,0.0006849765777587891
SRS,P0,None,none,200,26,0.11,0.11165048543689318,22,0.0006825923919677734
SRS,P0,None,none,200,27,0.09,0.11165048543689318,18,0.0009489059448242188
SRS,P0,None,none,200,28,0.13,0.11165048543689318,26,0.0009176731109619141
SRS,P0,None,none,200,29,0.095,0.11165048543689318,19,0.0008840560913085938
SRS,P0,None,none,200,30,0.11,0.11165048543689318,22,0.0007674694061279297
SRS,P0,None,none,300,1,0.10666666666666667,0.11165048543689318,32,0.0008440017700195312
SRS,P0,None,none,300,2,0.09666666666666666,0.11165048543689318,29,0.0006868839263916016
SRS,P0,None,none,300,3,0.10333333333333333,0.11165048543689318,31,0.0006597042083740234
SRS,P0,None,none,300,4,0.11333333333333333,0.11165048543689318,34,0.0007684230804443359
SRS,P0,None,none,300,5,0.11333333333333333,0.11165048543689318,34,0.0009338855743408203
SRS,P0,None,none,300,6,0.10666666666666667,0.11165048543689318,32,0.0009129047393798828
SRS,P0,None,none,300,7,0.11666666666666667,0.11165048543689318,35,0.0009250640869140625
SRS,P0,None,none,300,8,0.11,0.11165048543689318,33,0.0007696151733398438
SRS,P0,None,none,300,9,0.12333333333333334,0.11165048543689318,37,0.0007460117340087891
SRS,P0,None,none,300,10,0.12,0.11165048543689318,36,0.0006709098815917969
SRS,P0,None,none,300,11,0.07666666666666666,0.11165048543689318,23,0.0009496212005615234
SRS,P0,None,none,300,12,0.11333333333333333,0.11165048543689318,34,0.0009877681732177734
SRS,P0,None,none,300,13,0.12666666666666668,0.11165048543689318,38,0.0009317398071289062
SRS,P0,None,none,300,14,0.13333333333333333,0.11165048543689318,40,0.0009357929229736328
SRS,P0,None,none,300,15,0.09333333333333334,0.11165048543689318,28,0.0007948875427246094
SRS,P0,None,none,300,16,0.1,0.11165048543689318,30,0.0006563663482666016
SRS,P0,None,none,300,17,0.11333333333333333,0.11165048543689318,34,0.0006470680236816406
SRS,P0,None,none,300,18,0.14,0.11165048543689318,42,0.0007150173187255859
SRS,P0,None,none,300,19,0.11,0.11165048543689318,33,0.0009407997131347656
SRS,P0,None,none,300,20,0.08666666666666667,0.11165048543689318,26,0.0009453296661376953
SRS,P0,None,none,300,21,0.13,0.11165048543689318,39,0.0009124279022216797
SRS,P0,None,none,300,22,0.09333333333333334,0.11165048543689318,28,0.0008108615875244141
SRS,P0,None,none,300,23,0.10333333333333333,0.11165048543689318,31,0.0007014274597167969
SRS,P0,None,none,300,24,0.10333333333333333,0.11165048543689318,31,0.0006346702575683594
SRS,P0,None,none,300,25,0.11,0.11165048543689318,33,0.0006771087646484375
SRS,P0,None,none,300,26,0.11,0.11165048543689318,33,0.0007534027099609375
SRS,P0,None,none,300,27,0.1,0.11165048543689318,30,0.0009267330169677734
SRS,P0,None,none,300,28,0.11333333333333333,0.11165048543689318,34,0.0009298324584960938
SRS,P0,None,none,300,29,0.09,0.11165048543689318,27,0.0008902549743652344
SRS,P0,None,none,300,30,0.11666666666666667,0.11165048543689318,35,0.0012333393096923828
SRS,P0,None,none,400,1,0.115,0.11165048543689318,46,0.0007421970367431641
SRS,P0,None,none,400,2,0.1125,0.11165048543689318,45,0.0008502006530761719
SRS,P0,None,none,400,3,0.1075,0.11165048543689318,43,0.000946044921875
SRS,P0,None,none,400,4,0.1,0.11165048543689318,40,0.0009140968322753906
SRS,P0,None,none,400,5,0.11,0.11165048543689318,44,0.0008785724639892578
SRS,P0,None,none,400,6,0.1175,0.11165048543689318,47,0.0008208751678466797
SRS,P0,None,none,400,7,0.12,0.11165048543689318,48,0.0007386207580566406
SRS,P0,None,none,400,8,0.1075,0.11165048543689318,43,0.0006718635559082031
SRS,P0,None,none,400,9,0.1125,0.11165048543689318,45,0.0007100105285644531
SRS,P0,None,none,400,10,0.1175,0.11165048543689318,47,0.0009412765502929688
SRS,P0,None,none,400,11,0.0925,0.11165048543689318,37,0.0009357929229736328
SRS,P0,None,none,400,12,0.1025,0.11165048543689318,41,0.0009050369262695312
SRS,P0,None,none,400,13,0.1125,0.11165048543689318,45,0.0009024143218994141
SRS,P0,None,none,400,14,0.125,0.11165048543689318,50,0.0008814334869384766
SRS,P0,None,none,400,15,0.095,0.11165048543689318,38,0.0006899833679199219
SRS,P0,None,none,400,16,0.1225,0.11165048543689318,49,0.0007753372192382812
SRS,P0,None,none,400,17,0.095,0.11165048543689318,38,0.0009369850158691406
SRS,P0,None,none,400,18,0.1175,0.11165048543689318,47,0.00092315673828125
SRS,P0,None,none,400,19,0.12,0.11165048543689318,48,0.0009336471557617188
SRS,P0,None,none,400,20,0.105,0.11165048543689318,42,0.0008962154388427734
SRS,P0,None,none,400,21,0.115,0.11165048543689318,46,0.0008068084716796875
SRS,P0,None,none,400,22,0.0975,0.11165048543689318,39,0.0007266998291015625
SRS,P0,None,none,400,23,0.11,0.11165048543689318,44,0.0008232593536376953
SRS,P0,None,none,400,24,0.1025,0.11165048543689318,41,0.000957489013671875
SRS,P0,None,none,400,25,0.12,0.11165048543689318,48,0.000946044921875
SRS,P0,None,none,400,26,0.1,0.11165048543689318,40,0.0009202957153320312
SRS,P0,None,none,400,27,0.12,0.11165048543689318,48,0.0012896060943603516
SRS,P0,None,none,400,28,0.11,0.11165048543689318,44,0.0007765293121337891
SRS,P0,None,none,400,29,0.0975,0.11165048543689318,39,0.0007719993591308594
SRS,P0,None,none,400,30,0.12,0.11165048543689318,48,0.0009415149688720703
SUPS,P0,TTC,none,50,1,0.0,0.11165048543689318,0,0.0019154548645019531
SUPS,P0,TTC,none,50,2,0.0,0.11165048543689318,0,0.0020194053649902344
SUPS,P0,TTC,none,50,3,0.02,0.11165048543689318,1,0.0014796257019042969
SUPS,P0,TTC,none,50,4,0.04,0.11165048543689318,2,0.0017344951629638672
SUPS,P0,TTC,none,50,5,0.04,0.11165048543689318,2,0.0015778541564941406
SUPS,P0,TTC,none,50,6,0.02,0.11165048543689318,1,0.0014889240264892578
SUPS,P0,TTC,none,50,7,0.02,0.11165048543689318,1,0.0013320446014404297
SUPS,P0,TTC,none,50,8,0.02,0.11165048543689318,1,0.001573801040649414
SUPS,P0,TTC,none,50,9,0.04,0.11165048543689318,2,0.00170135498046875
SUPS,P0,TTC,none,50,10,0.02,0.11165048543689318,1,0.001440286636352539
SUPS,P0,TTC,none,50,11,0.04,0.11165048543689318,2,0.0011758804321289062
SUPS,P0,TTC,none,50,12,0.0,0.11165048543689318,0,0.0011603832244873047
SUPS,P0,TTC,none,50,13,0.0,0.11165048543689318,0,0.0016603469848632812
SUPS,P0,TTC,none,50,14,0.06,0.11165048543689318,3,0.0015888214111328125
SUPS,P0,TTC,none,50,15,0.04,0.11165048543689318,2,0.0014660358428955078
SUPS,P0,TTC,none,50,16,0.06,0.11165048543689318,3,0.0012030601501464844
SUPS,P0,TTC,none,50,17,0.0,0.11165048543689318,0,0.0014412403106689453
SUPS,P0,TTC,none,50,18,0.0,0.11165048543689318,0,0.0015959739685058594
SUPS,P0,TTC,none,50,19,0.04,0.11165048543689318,2,0.00186920166015625
SUPS,P0,TTC,none,50,20,0.04,0.11165048543689318,2,0.00131988525390625
SUPS,P0,TTC,none,50,21,0.02,0.11165048543689318,1,0.0012974739074707031
SUPS,P0,TTC,none,50,22,0.02,0.11165048543689318,1,0.0016827583312988281
SUPS,P0,TTC,none,50,23,0.02,0.11165048543689318,1,0.001607656478881836
SUPS,P0,TTC,none,50,24,0.02,0.11165048543689318,1,0.001918792724609375
SUPS,P0,TTC,none,50,25,0.0,0.11165048543689318,0,0.0012273788452148438
SUPS,P0,TTC,none,50,26,0.1,0.11165048543689318,5,0.0016598701477050781
SUPS,P0,TTC,none,50,27,0.04,0.11165048543689318,2,0.0015954971313476562
SUPS,P0,TTC,none,50,28,0.04,0.11165048543689318,2,0.0013382434844970703
SUPS,P0,TTC,none,50,29,0.0,0.11165048543689318,0,0.0012614727020263672
SUPS,P0,TTC,none,50,30,0.06,0.11165048543689318,3,0.0014407634735107422
SUPS,P0,TTC,none,100,1,0.0,0.11165048543689318,0,0.0016944408416748047
SUPS,P0,TTC,none,100,2,0.0,0.11165048543689318,0,0.0014820098876953125
SUPS,P0,TTC,none,100,3,0.01,0.11165048543689318,1,0.0015451908111572266
SUPS,P0,TTC,none,100,4,0.03,0.11165048543689318,3,0.001191854476928711
SUPS,P0,TTC,none,100,5,0.03,0.11165048543689318,3,0.0014102458953857422
SUPS,P0,TTC,none,100,6,0.02,0.11165048543689318,2,0.0016891956329345703
SUPS,P0,TTC,none,100,7,0.02,0.11165048543689318,2,0.0016913414001464844
